Th(in),Th(out),Tc(in),Tc(out),Rhoh,Rhoc,V%h,V%c,UNTU,ULMTD
44.5707804,35.27908668,15.24786333,22.55890012,994.1951586,998.4111284,19.79876838,58.27187099,76639.5463,75881.33937
44.80264295,34.56462529,15.56883715,28.57074206,993.2367541,998.8618083,9.535555491,53.66989082,79010.49237,78287.25324
43.19813611,38.67454829,15.45308468,26.33915715,992.4136923,999.1463202,48.42713561,46.21108549,103218.7673,125269.3565
42.34655833,34.0971653,15.46500027,23.50438523,991.0761618,998.1288709,73.83975268,74.360892,78441.07066,76546.25997
45.48341499,32.37052255,15.59708426,21.45606435,994.2265038,998.5694957,79.42840047,89.90844386,77160.76252,119989.283
46.24821606,35.48854496,15.39903322,28.74887898,992.2844184,997.5886864,28.02218608,61.27094312,84880.77244,91721.56802
46.6,33.8,14.4,24.2,992.17,998.33,40,60,84167.35734,86681.75474
45.63137066,32.924213,15.15941828,32.51908257,992.6563633,998.6096631,39.76020019,42.61155428,99641.63689,75257.12558
46.6,33.8,14.4,24.2,992.17,998.33,40,60,84167.35734,86681.75474
47.1,35,16.1,25.2,991.84,998.05,50,70,103676.8066,104911.2171
46,32.8,15.5,22.3,992.48,998.4,40,80,91272.84201,91756.66471
46.9,38.3,15.6,31.7,991.23,997.38,60,30,100479.4095,97376.25916
45.38066868,32.80526619,16.14407108,23.13109623,993.2089205,997.9385851,22.33618933,38.47527647,94274.63468,64256.74855
44.93001265,31.09691599,15.1015258,20.82552625,992.589454,998.3036427,51.13247226,63.35140566,69967.3131,63865.27584
45.61338874,30.06288845,15.3923086,12.02304344,992.5721181,998.1485287,52.95739365,44.76220803,108726.8251,112823.7636
45.8,36.2,15.7,28.7,991.86,997.72,65,40,126790.649,117526.4504
42.97932904,33.20842815,15.65798711,31.15596492,993.1074674,997.8694169,23.68093751,25.12139784,107813.4804,87387.28828
44.08354976,40.40200454,14.78734285,25.95699117,992.3422926,998.2632462,50.9423031,67.8315229,68590.70434,86601.69835
47.1,35,16.1,25.2,991.84,998.05,50,70,103676.8066,104911.2171
45,38.7,15.8,33.1,991.53,997.19,90,30,126350.3964,119108.2443
43.05759434,35.92782838,15.67612205,20.29083038,992.0472082,998.3720681,4.402816439,30.65337086,65055.42803,52937.07553
43.90980738,34.78492085,15.41633066,20.86715927,993.0628679,997.4563295,39.6632577,56.06829786,106107.57,32373.43812
44.8,31.5,14.8,22.8,992.94,998.42,25,50,59196.2598,61128.21757
